/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('green', 'forward', 'left', 'right')
 -- forward : 0.12
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('green', None, 'forward', 'forward')
 -- forward : 1.27
 -- None : -0.30
 -- right : 0.00
 -- left : 0.00

('green', 'forward', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.22
 -- left : 0.00

('green', 'left', 'right', 'forward')
 -- forward : 0.07
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('red', 'left', 'right', 'forward')
 -- forward : -0.47
 -- None : 0.00
 -- right : 0.00
 -- left : -2.04

('red', 'left', 'left', 'left')
 -- forward : -0.49
 -- None : 0.00
 -- right : 0.19
 -- left : -0.47

('green', 'right', 'left', 'forward')
 -- forward : 0.00
 -- None : -0.51
 -- right : 0.00
 -- left : 0.07

('green', 'left', None, 'forward')
 -- forward : 0.00
 -- None : -0.23
 -- right : 0.39
 -- left : 0.07

('green', None, 'left', 'left')
 -- forward : 0.08
 -- None : -0.66
 -- right : 0.38
 -- left : 0.08

('green', 'forward', 'right', 'forward')
 -- forward : 0.22
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('green', 'left', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.04
 -- left : 0.00

('red', None, 'forward', 'forward')
 -- forward : -1.42
 -- None : 1.37
 -- right : 0.30
 -- left : -2.47

('green', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.18
 -- left : 0.00

('red', None, 'right', 'left')
 -- forward : -1.42
 -- None : 0.46
 -- right : 0.09
 -- left : -7.50

('red', 'right', 'forward', 'forward')
 -- forward : -0.49
 -- None : 0.02
 -- right : 0.00
 -- left : -1.02

('red', 'right', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.25
 -- left : 0.00

('green', 'forward', None, 'right')
 -- forward : 0.03
 -- None : -0.87
 -- right : 0.65
 -- left : 0.01

('green', 'forward', 'right', 'right')
 -- forward : 0.07
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('red', None, None, 'left')
 -- forward : -2.27
 -- None : 1.72
 -- right : 0.15
 -- left : -7.17

('green', 'right', 'forward', 'left')
 -- forward : 0.00
 -- None : -0.21
 -- right : 0.00
 -- left : -0.96

('green', 'left', 'forward', 'right')
 -- forward : -0.00
 -- None : -0.30
 -- right : 0.00
 -- left : -2.01

('green', None, 'left', 'forward')
 -- forward : 1.34
 -- None : -1.01
 -- right : 0.10
 -- left : -0.00

('red', None, None, 'right')
 -- forward : -4.09
 -- None : 0.64
 -- right : 0.46
 -- left : -4.80

('green', 'right', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('green', 'left', None, 'left')
 -- forward : -0.03
 -- None : 0.00
 -- right : 0.28
 -- left : 0.14

('green', 'forward', 'forward', 'forward')
 -- forward : 0.22
 -- None : -0.20
 -- right : 0.00
 -- left : 0.00

('red', 'forward', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -2.04

('red', 'left', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.19
 -- right : 0.00
 -- left : 0.00

('green', 'left', 'left', 'forward')
 -- forward : 0.00
 -- None : -0.23
 -- right : 0.00
 -- left : 0.11

('red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -0.53

('green', None, 'left', 'right')
 -- forward : 0.04
 -- None : -0.53
 -- right : 0.86
 -- left : 0.00

('red', None, 'forward', 'left')
 -- forward : -0.50
 -- None : 1.37
 -- right : 0.00
 -- left : -2.41

('green', 'forward', None, 'forward')
 -- forward : 0.81
 -- None : -0.53
 -- right : 0.06
 -- left : 0.10

('red', 'right', None, 'forward')
 -- forward : 0.00
 -- None : 0.16
 -- right : 0.06
 -- left : 0.00

('green', 'right', None, 'right')
 -- forward : 0.00
 -- None : -0.23
 -- right : 0.33
 -- left : 0.00

('green', 'left', 'forward', 'left')
 -- forward : 0.06
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('red', 'left', 'right', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.21
 -- left : 0.00

('green', 'right', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -1.02

('red', None, 'left', 'right')
 -- forward : -0.51
 -- None : 0.10
 -- right : 0.94
 -- left : -1.39

('red', 'right', None, 'left')
 -- forward : -4.26
 -- None : 0.40
 -- right : 0.02
 -- left : -1.00

('red', 'forward', 'left', 'left')
 -- forward : -2.03
 -- None : 0.28
 -- right : -1.03
 -- left : 0.00

('green', None, None, 'forward')
 -- forward : 1.70
 -- None : -1.65
 -- right : 0.12
 -- left : 0.04

('red', 'right', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.05
 -- left : -1.99

('red', 'forward', None, 'forward')
 -- forward : -1.97
 -- None : 1.01
 -- right : -2.89
 -- left : -2.05

('green', 'left', 'right', 'right')
 -- forward : 0.17
 -- None : -0.26
 -- right : 0.00
 -- left : 0.00

('red', 'left', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('green', None, None, 'right')
 -- forward : 0.12
 -- None : -0.75
 -- right : 1.29
 -- left : 0.23

('red', 'forward', 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : -0.97
 -- left : -3.90

('red', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.32
 -- right : 0.00
 -- left : -0.50

('green', None, 'right', 'forward')
 -- forward : 0.00
 -- None : -0.26
 -- right : 0.14
 -- left : 0.00

('red', None, None, 'forward')
 -- forward : -4.45
 -- None : 1.81
 -- right : 0.17
 -- left : -2.26

('green', 'right', None, 'left')
 -- forward : 0.05
 -- None : -0.70
 -- right : 0.07
 -- left : 0.21

('green', 'forward', None, 'left')
 -- forward : 0.00
 -- None : -0.27
 -- right : 0.44
 -- left : 0.14

('red', 'left', None, 'left')
 -- forward : -1.96
 -- None : 0.83
 -- right : 0.06
 -- left : -1.43

('red', None, 'right', 'forward')
 -- forward : 0.00
 -- None : 0.37
 -- right : 0.06
 -- left : -1.95

('green', None, 'right', 'right')
 -- forward : 0.00
 -- None : -0.20
 -- right : 0.17
 -- left : -0.98

('green', None, None, 'left')
 -- forward : 0.17
 -- None : -1.94
 -- right : 0.16
 -- left : 1.49

('red', 'forward', 'forward', 'forward')
 -- forward : -5.66
 -- None : 0.18
 -- right : 0.00
 -- left : 0.00

('green', 'right', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -0.97

('green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -1.00

('red', 'forward', None, 'right')
 -- forward : 0.00
 -- None : 0.46
 -- right : 0.00
 -- left : -2.02

('green', 'forward', 'forward', 'left')
 -- forward : 0.12
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('red', 'left', 'left', 'forward')
 -- forward : -0.46
 -- None : 0.00
 -- right : 0.14
 -- left : 0.00

('green', 'left', None, 'right')
 -- forward : 0.02
 -- None : 0.00
 -- right : 0.60
 -- left : 0.09

('red', None, 'left', 'left')
 -- forward : -2.02
 -- None : 1.47
 -- right : 0.06
 -- left : -0.98

('red', None, 'forward', 'right')
 -- forward : -0.99
 -- None : 0.03
 -- right : 0.88
 -- left : 0.00

('green', 'left', 'left', 'left')
 -- forward : 0.00
 -- None : -0.24
 -- right : 0.00
 -- left : 0.26

('green', None, 'forward', 'right')
 -- forward : 0.25
 -- None : -0.21
 -- right : 0.00
 -- left : -0.95

('red', None, 'left', 'forward')
 -- forward : 0.00
 -- None : 1.58
 -- right : 0.07
 -- left : -3.31

('green', 'right', None, 'forward')
 -- forward : 0.57
 -- None : -0.27
 -- right : 0.06
 -- left : 0.00

('green', None, 'right', 'left')
 -- forward : 0.28
 -- None : -0.51
 -- right : 0.00
 -- left : -1.02

('red', 'forward', 'left', 'right')
 -- forward : -2.04
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('red', 'left', 'left', 'right')
 -- forward : 0.00
 -- None : 0.12
 -- right : 0.33
 -- left : -0.46

('green', 'left', 'left', 'right')
 -- forward : 0.18
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('green', 'right', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('green', 'forward', 'left', 'forward')
 -- forward : 0.48
 -- None : 0.00
 -- right : 0.09
 -- left : 0.00

('red', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.06
 -- right : 0.00
 -- left : -1.99

('red', 'left', None, 'forward')
 -- forward : -0.45
 -- None : 0.31
 -- right : -0.02
 -- left : -0.52

('red', 'forward', None, 'left')
 -- forward : 0.00
 -- None : 0.56
 -- right : -1.03
 -- left : -3.83

('red', 'forward', 'forward', 'right')
 -- forward : -1.98
 -- None : 0.24
 -- right : 0.00
 -- left : 0.00

('green', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.39
 -- left : 0.00

('red', None, 'right', 'right')
 -- forward : 0.00
 -- None : 0.03
 -- right : 0.51
 -- left : 0.00

('red', 'forward', 'left', 'forward')
 -- forward : -1.98
 -- None : 0.00
 -- right : -1.01
 -- left : -1.95

('red', 'right', 'left', 'forward')
 -- forward : -1.00
 -- None : 0.00
 -- right : 0.12
 -- left : -0.53

('red', 'right', 'left', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.34
 -- left : 0.00

('red', 'right', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -0.47

('red', 'left', None, 'right')
 -- forward : -2.38
 -- None : 0.05
 -- right : 0.63
 -- left : 0.00

('red', 'right', 'left', 'left')
 -- forward : -1.30
 -- None : 0.00
 -- right : 0.08
 -- left : 0.00

('red', 'left', 'forward', 'left')
 -- forward : -2.02
 -- None : 0.03
 -- right : 0.19
 -- left : 0.00

('green', 'right', 'left', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.08
 -- left : 0.00

('green', None, 'forward', 'left')
 -- forward : 0.38
 -- None : -0.20
 -- right : 0.03
 -- left : -2.83

('red', 'forward', 'forward', 'left')
 -- forward : -2.01
 -- None : 0.17
 -- right : -0.98
 -- left : 0.00

